id,title,slug,description,required_skills,expected_budget,expected_duration,attachments,client_id,specialization_id,status,type,location_type,longitude,latitude,address,created_at,updated_at
25,Deputy Program Director,,Project Harmony an innovative not-for-profit professional exchange and training organization with 13 offices across the US Armenia Azerbaijan Georgia Russia and Ukraine currently seeks an experienced mature professional to fill the position of Deputy Program Director for the Armenia School Connectivity Program ASCP a program of the Bureau of Educational and Cultural Affairs of the US Dept. of State administered by Project Harmony. This position is based in Yerevan Armenia with extensive regional travel. Fluency in Russian and/or Armenian is essential. Project Harmony seeks to fill this position as soon as possible.  Project Harmony is an equal opportunity employer which provides its staff opportunities for job growth innovation and creativity.,,100.0,10,,1,1,,open,remote,,,,,
26,Reporting Diversity Workshop for Journalists,,Media Diversity Institute MDI is looking for an experienced journalism trainer from Armenia to participate as a co-trainer in a three-day workshop for journalists on diversity reporting. The workshop which will be held on 16-18 February in Yerevan will focus on the full and objective coverage of both the majority and minorities - using both international and local examples and trainers. Workshop sessions using a mixture of theory and practical exercises will focus on the way the media covers diversity issues and how it could improve that coverage.,,100.0,10,,1,1,,open,remote,,,,,
27,Chief Accountant,,Senior Management Position in Micro-Finance  SEF International a growing universal credit organization with an 8-year of experience in Armenia advertises a position of a Chief Accountant based in Yerevan. This position will provide leadership in development and implementation of financial policies in the areas of budgeting cash management and forecasting recordings and documentation auditing and financial reporting.,,100.0,10,,1,1,,open,remote,,,,,
28,Consultant (short-term),,International Relief and Development IRD Armenia Branch urgently seeks a qualified individual to fill in a short-term position of a Consultant to conduct a feasibility study in an agricultural sector.,,100.0,10,,1,1,,open,remote,,,,,
29,"Guard, FSN-2; FP-CC*",,Performs guard duties on a regular basis at either a stationary or working patrol post at/around the Embassy Yerevan New Office Building. Controls access to avoid unauthorized individuals and vehicles from entering the construction site and authorized limits as set by the OBO Site Security Manager. Remains alert to his/her surroundings for any unusual activity or suspicious behavior. A copy of the complete position description listing all duties and responsibilities is available in the Human Resources Office. Contact number: 3741 52-46-61,,100.0,10,,1,1,,open,remote,,,,,
30,Training Officer,,"The United Methodist Committee on Relief UMCOR Armenia is seeking applicants for the position of Training Officer for ""Prevention and Control of HIV/AIDS and STIs"" Project implemented in Gegharkunik marz. The goal of the project is to reduce the risk of HIV/AIDS STIs and TB among rural communities by promoting behavioural changes and strengthening the health care system's management of STIs.",,100.0,10,,1,1,,open,remote,,,,,
31,"Chauffeur, FSN-3; FP-BB*",,Drives a passenger vehicle for U.S. Mission employees official visitors and for delivering official correspondence gratuities and other items within the city and surrounding area according to Dispatcher's instructions. Assures passenger compliance with USG safety regulations. A copy of the complete position description listing all duties and responsibilities is available in the Human Resources Office. Contact number: 3741 52-46-61,,100.0,10,,1,1,,open,remote,,,,,
32,Tester,,Synergy International Systems Inc./Armenia is currently seeking self-motivated individuals to join our quality assurance team. The ideal candidate will meet the following basic requirements:,,100.0,10,,1,1,,open,remote,,,,,
33,Receptionist,,AMERIA Closed Joint Stock Company is seeking a Receptionist to provide secretarial and administrative support to the office.,,100.0,10,,1,1,,open,remote,,,,,
34,Team Leader/ Chief of Party,,Mercy Corps is currently looking for an experienced Team Leader/ Chief of Party to help us leverage our strong presence in the Communities of Central Asia to help address the continuous challenge of water use and legislative reform on the region. The Team Leader will work with existing Mercy Corps staff and our partners to manage the implementation of a five year USAID funded project to advance community water management and irrigation practices through development of Water Users' Associations the Team Leader will provide the vision and leadership to ensure that the project is planned and executed with quality accountability and measurable impact.,,100.0,10,,1,1,,open,remote,,,,,
35,Program Manager - Children's Programs,,We are currently seeking a Program Manager to oversee Mercy Corps community-driven programs addressing the psychosocial needs of children affected by the earthquake. These programs are intended to empower communities to prioritize plan and implement projects that address the psychosocial needs of children affected by the earthquake.,,100.0,10,,1,1,,open,remote,,,,,
36,Receptionist,,AMERIA Closed Joint Stock Company is seeking a Receptionist to provide secretarial and administrative support to the office.,,100.0,10,,1,1,,open,remote,,,,,
37,Chief of Party,,"DAI is seeking candidates for long-term resident positions in the field of agribusiness for an upcoming USAID-funded agribusiness development program in Ghana. Candidates should have hands on experience in Agribusiness from production to marketing as well as the proven ability to locate markets and establish linkages with producers/ exporters. Specific Areas of Expertise Sought: - Tropical agricultural production especially high-value horticulture for export including sanitary and phytosanitary requirements and broader certification approaches such as EUREP-GAP; - Agribusiness Development; - Agribusiness marketing; Export Promotion; proven ability to ""make deals"" and move product; - Post-harvest handling; Food processing; - Producer association development; - Horticultural and specialty export crops; - Market information systems; International trade; and - Agricultural finance and investment promotion.",,100.0,10,,1,1,,open,remote,,,,,
38,Quality Assurance/ Health Systems Management Advisor,,Initiatives Inc. seeks a Quality Assurance/ Health Systems Management Advisor for a multi-year assignment.,,100.0,10,,1,1,,open,remote,,,,,
39,Teacher of Information Technologies,,Military Institute is looking for a Teacher of Information Technologies.,,100.0,10,,1,1,,open,remote,,,,,
40,Cashier,,MDF Kamurj is currently looking to recruit a Cashier for its Vanadzor branch. The Cashier will do bank transactions accept loan repayments disburse loans in Vanadzor branch and it's program areas. he will maintain cash flow according to existing policy and procedures.,,100.0,10,,1,1,,open,remote,,,,,
41,Medical Monitor,,International Relief and Development IRD Armenia Branch seeks a qualified individual to fill in a position of a Medical Monitor to monitor the implementation of Essential Medical Commodities Distribution Program.,,100.0,10,,1,1,,open,remote,,,,,
42,"Telephone Operator, FSN-4; FP-AA*",,Provides Telephone operator/ receptionist service to all sections of the U.S. Embassy in Yerevan. Operates the Embassy Base Station radio assists with vehicle dispatch duties after normal Embassy duty hours. Operates the Embassy facsimile machine. Periodically assists in the mail Room or as the IRM Secretary. A copy of the complete position description listing all duties and responsibilities is available in the Human Resources Office. Contact number: 3741 52-46-61,,100.0,10,,1,1,,open,remote,,,,,
43,English as a Second Language/ TOEFL/ TWE/ TSE Instructors,,We are looking for dynamic and creative ESL/ TOEFL/ TWE/ TSE instructors willing  to teach written and spoken English to Armenian nurses and help them master TOEFL/ TWE/ TSE exam taking skills.,,100.0,10,,1,1,,open,remote,,,,,
44,Programs Manager,,Armenian Caritas is seeking an experienced Programs Manager to lead the development of programs and coordinate the design documentation monitoring and evaluation of program activities for the purpose of assuring the ongoing quality. He/she will be fully aware of all aspects of all projects and will provide leadership and guidance to the program team Project Managers and Project Staff.,,100.0,10,,1,1,,open,remote,,,,,
45,Proposal Writer,,Armenian Caritas seeks to hire a full-time Proposal Writer to develop and design the new projects and help the organization to achieve its strategic goals.,,100.0,10,,1,1,,open,remote,,,,,
46,English Language Conversation Partners,,We are looking for volunteers who are fluent in conversational English to help Armenian nurses to learn standard American spoken English.  REMUNERATION:  Negotiable,,100.0,10,,1,1,,open,remote,,,,,
47,Accountant,,SEF International a growing universal credit organization in Armenia is looking to recruit qualified and experienced Accountant for its Sisian branch. This position will carry out routine accounting and financial reporting for the branch as well as handling credit-related information.,,100.0,10,,1,1,,open,remote,,,,,
48,Trainers/ Consultants and Moderators/ Facilitators,,"T&D is looking for Trainers/ Consultants and Moderators/ Facilitators in business and management spheres with comprehensive experience in the related fields for further cooperation with them. RESPONSIBILITIES:  Provides instructional facilitation and consultation services for ""Training & Development"" clients.",,100.0,10,,1,1,,open,remote,,,,,
49,Chief/ Supervisor of Programs Department,,The candidate will work for the promotion and development of the company's activities. The Supervisor will also work in close collaboration with special departments and be responsible for their monitoring. The candidate will supervise and organize programs develop work plans and perform other duties project requires.,,100.0,10,,1,1,,open,remote,,,,,
50,Manufacturing Chief,,We are seeking a Manufacturing Chief a professional who has diverse experience in all aspects of manufacturing of mechanical electromechanical and electrical equipment. He will be responsible for all the processes the raw material will go through until it is converted to finished products. He will also be responsible for keeping the manufacturing equipment maintained in order to secure the quantity and quality of what is manufactured. He will report directly to the Executive Director.,,100.0,10,,1,1,,open,remote,,,,,
51,Driver,,IntraHealth International/ Prime II project in Armenia is seeking a driver to work in Lori Marz and Yerevan offices.,,100.0,10,,1,1,,open,remote,,,,,
52,General Manager,,Teleplus LLC is looking for a General Manager.,,100.0,10,,1,1,,open,remote,,,,,
53,Experts,,"PLS RAMBOLL Management is looking for Experts for ""Further deepening of democratic reforms in Uzbekistan""- EU Tacis funded project. The team of experts will work with the Chairman of the Oliy Majlis Committee on Legislation and Judiciary and a broad range of other beneficiaries to the project including among many others the Oliy Majlis Secretariat and Committees on Press and Information Reforming Economy and Entrepreneurship and Social Issues and Employment. The project should also provide technical assistance and policy advice to establish a system and joint procedures and interaction mechanisms between the Oliy Majlis the Constitutional Court and the Supreme Court of Uzbekistan.",,100.0,10,,1,1,,open,remote,,,,,
54,"Online Business Associates (part time, work from home)",,The company WEB PROJECT is currently seeking qualified candidates for positions of associates in work-online business.,,100.0,10,,1,1,,open,remote,,,,,
55,Loan Promoter,,"Fund ""Kamurj"" is currently looking to recruit a Loan Promoter for its Sisian branch.",,100.0,10,,1,1,,open,remote,,,,,
56,Country Director,,The Country Director is responsible for maintaining American Councils for International Education: ACTR/ ACCELS organizational relations in Armenia overseeing internal operations in the Yerevan office and providing oversight of student undergraduate graduate post-graduate and teacher and professional development exchange programs.,,100.0,10,,1,1,,open,remote,,,,,
57,Regional Director,,The Eurasia Foundation is seeking candidates to manage a network of applied social science research and training centers in the South Caucasus.The CRRC centers offer training in modern social science research methodologies and house key bibliographic and online resources for policy-oriented research in the social sciences. Centers also work to promote regional networking for researchers and cross-border dialogue on the policy implications of research on key issues.,,100.0,10,,1,1,,open,remote,,,,,
58,Administrative Assistant/ Secretary,,ACH's Armenia Mission is seeking to employ a Administrative Assistant/ Secretary for the Sisian Base office.,,100.0,10,,1,1,,open,remote,,,,,
59,Program Expert,,"The SME DNC of Armenia is looking for a qualified person to be hired on competitive basis for implementation of the Loan Guaranties pilot project stipulated as a separate point in ""SME Development State Support Program 2004"". The project will be extended further depending on start-up output.",,100.0,10,,1,1,,open,remote,,,,,
60,Project Coordinator,,"The United Nations Development Programme in Armenia announces opening for Project Coordinator for the Project ""Promoting Human Rights and Facilitating Public Awareness of the Public Defender's Office in Armenia. The incumbent under direct supervision of UNDP Resident Representative will carry out overall coordination of the Project activities.",,100.0,10,,1,1,,open,remote,,,,,
61,Salesman / Trade agent,,- 6 days working week - Company provides new cars Zhiguly 06 with an opportunity to acquire it in future.,,100.0,10,,1,1,,open,remote,,,,,
62,Admin/ Finance Clerk - 2004/ 001,,The United Nations World Food Programme is seeking an Admin/ Finance Clerk for temporary assistance.,,100.0,10,,1,1,,open,remote,,,,,
63,Software Developers,,We are looking for a Programmers with knowledge of Java Jsp J2EE.,,100.0,10,,1,1,,open,remote,,,,,
64,Training and Institutional Capacity Building Specialist,,Eurecna SLR the international consulting organisation which has been awarded the contract by the Delegation of the European Commission in Yerevan for the implementation of REDAM seeks to fill the long-term position of Training and Institutional Capacity Building Specialist. We need an Armenian expert with extensive experience conducting training needs analyses and institutional capacity analyses and developing training programmes. The candidate selected for this position will be contracted for the next 18 months within the EU International Team to help strengthen the capabilities of civil servants at local regional and central levels. Eurecna is an equal opportunities employer.,,100.0,10,,1,1,,open,remote,,,,,
65,Director of Finance and Accounting,,Excellent knowledge of Accounting/Tax filing both Central Bank and Tax Dept. budget formation presentation and control.,,100.0,10,,1,1,,open,remote,,,,,
66,Accountant,,"The accountant is a full-time national staff position based in CCDI's Yerevan head office. Accountant is responsible for overseeing the daily financial operations of the organization 1 head office and 8 field offices. CCDI runs double entry bookkeeping on accrual bases in compliance with the National International Accounting Standards NAS.  Accounting is computerized. Accounting software ""OC - 1"" MS Access based double entry bookkeeping.   Quicken also will be used for recordkeeping.  Some forms and tables are also done in Excel. Overall Job Functions Major Duties and Responsibilities - Development and implementation of effective accounting internal controls and fund control policies procedures and systems - Effective preparation maintenance and reporting of internal and external financial records and analyses - Oversee the daily financial operations and performance of the organization - Establish and maintain effective communication and coordination with management and field offices - Maintain effective business relations with the bank and outside auditors/regulatory authorities",,100.0,10,,1,1,,open,remote,,,,,
67,Project Coordinator,,This is a full-time position based in CCDI's Yerevan head office with frequent travel outside of Yerevan. Overall Job Functions Major Duties and Responsibilities - Administering organizing coordinating the activities and services provided by the CCDI field offices. - Coordinating data collection and report submission by the CCDI field offices for all-organization reporting purposes/databases and for providing analysis/trends for oversight purposes development of new initiatives and ensuring a strategic approach to provision of services to clients.   - Coordination of public outreach/PR for the organization and by its field offices.,,100.0,10,,1,1,,open,remote,,,,,
68,Graphic Designer,,Ameria CJSC is seeking qualified candidates for the position of an in-house Graphic Designer for a company specializing in production of sweets and pastries.,,100.0,10,,1,1,,open,remote,,,,,
69,Administrative Assistant,,This is a full-time position based in CCDI's Yerevan head office with frequent travel outside of Yerevan.,,100.0,10,,1,1,,open,remote,,,,,
70,Supply Officer,,Ameria CJSC is currently seeking qualified candidate for the position of Supply Officer with a local company producer of sweets and pastries.,,100.0,10,,1,1,,open,remote,,,,,
71,Assistant to Director/ Translator,,The Armenian Representation of the Armenian General Benevolent Union is looking for a dynamic and creative person to fill the position of Assistant to Director/ Translator.,,100.0,10,,1,1,,open,remote,,,,,
72,Managing Director,,For our subsidiary in Yerevan Armenia we are looking for Managing Director. The Managing Director MD has the overall responsibility for the activities and the economic result of the company for communication and cooperation with customers partners owners authorities and the public. MD is also responsible for managing the personnel of the company. MD will under the guidance of the owners.,,100.0,10,,1,1,,open,remote,,,,,
73,Project Assistant,,World Vision Armenia announces a full-time position for Project Assistant for the implementation of a Mobile Medical Teams and Primary Health care project. The position is based in World Vision Armenia' National office Yerevan with extensive countrywide travel. Candidates must be flexible team players willing to travel extensively to field locations.  The Project Assistant will support the Yerevan based MMT staff with miscellaneous administrative and project implementation duties.,,100.0,10,,1,1,,open,remote,,,,,
74,MMT Project Manager,,World Vision Armenia announces a full-time position for MMT Project Manager for the implementation of a Mobile Medical Teams and Primary Health care project. The position is based in World Vision Armenia' National office Yerevan with extensive countrywide travel. Candidates must be flexible team players willing to travel extensively to field locations.  MMT project Manager will lead and work with other members of the MMT team. This position is responsible for immediate Management and oversight of program implementation monitoring and evaluation reporting.,,100.0,10,,1,1,,open,remote,,,,,
75,Health Coordinators (two positions are open),,World Vision Armenia announces full-time positions for Health Coordinators for the implementation of a Mobile Medical Teams and Primary Health care project. The positions are based in World Vision Armenia' National office Yerevan with extensive countrywide travel. Candidates must be flexible team players willing to travel extensively to field locations.  MMT Health Coordinators will be responsible for direct coordination supervision and technical monitoring of the program success and constrains in Lori and Gegharkunik.,,100.0,10,,1,1,,open,remote,,,,,
76,Communication Assistant,,CHF International an international development non-profit organization is currently seeking to fill the position of Communication Assistant. CHF does not discriminate on the basis of any legally protected characteristic including race sex national origin religion age disability or citizenship. All candidates must be currently eligible to work in the US. Sponsorship and relocation are not available.,,100.0,10,,1,1,,open,remote,,,,,
77,Consultant,,We have an opening for a full-time for a Consultant level staff member in our London office within the Private Sector Development PSD practice unit. Key goals of the practice include the expansion of the portfolio of contracts funded by the UK Department for International Development and to maintain its reputation and presence in the tourism consulting market. A key requirement for the post is an ability to play a full part in the growth of the business.,,100.0,10,,1,1,,open,remote,,,,,
78,Legal and Finance Assistant (part-time),,Academy for Educational Development is the primary contractor to USAID to implement the human and institutional capacity development in Armenia. AED announces the job opening for Legal and Finance Assistant to work part-time.,,100.0,10,,1,1,,open,remote,,,,,
79,Manager of Information Systems,,Academy for Educational Development is the primary contractor to USAID to implement the human and institutional capacity development in Armenia. AED announces the job opening for Manager of Information Systems.,,100.0,10,,1,1,,open,remote,,,,,
80,Program Specialist for Health/ Social Programs,,Academy for Educational Development is the primary contractor to USAID to implement the human and institutional capacity development in Armenia. AED announces the job opening for Program Specialist for Health/ Social Programs.,,100.0,10,,1,1,,open,remote,,,,,
81,Driver (contractual basis),,Academy for Educational Development is the primary contractor to USAID to implement the human and institutional capacity development in Armenia. AED announces the job opening for Driver.,,100.0,10,,1,1,,open,remote,,,,,
82,Project Assistant,,"The UNDP and the Ministry of Health seek professionals for the project ""HIV/AIDS and Uniformed Services''",,100.0,10,,1,1,,open,remote,,,,,
83,Software Developer,,Synergy International Systems Inc./Armenia seeks to fill the long-term position of Software Developer. The responsibilities of this position are focused on core software development tasks in Synergy International Systems Inc. Synergy's main focus is on developing integrated state-of-the-art Web Database and Web Portal systems for business intelligence knowledge management and e-Government solutions.  This position will be filled by a software developer with a proven history of producing quality software product in a commercial setting. Experience in a dynamic workplace with solid software developing practice is required. Ideally this position will be filled by a candidate who has experience in all aspects of the software development process; including design implementation testing and delivery.,,100.0,10,,1,1,,open,remote,,,,,
84,Translator/ Interpreter  (AVET3),,IFOA the international consulting company which has been awarded the contract by the delegation of the European Commission in Yerevan seeks to fill the post of Translator/ Interpreter. Translator/ Interpreter will be responsible for providing language support services to the project and in particular to the Team Leader and International experts,,100.0,10,,1,1,,open,remote,,,,,
85,Office Secretary (AVET2),,IFOA the international consulting company which has been awarded the contract by the delegation of the European Commission in Yerevan seeks to fill the post of Office Secretary. Office secretary will be responsible for providing a range of secretarial and logistical services to the project.,,100.0,10,,1,1,,open,remote,,,,,
86,Project Manager,,"The UNDP and the Ministry of Health seek professionals for the project ""HIV/AIDS and Uniformed Services''",,100.0,10,,1,1,,open,remote,,,,,
87,Office Manager (AVET1),,IFOA the international consulting company which has been awarded the contract by the delegation of the European Commission in Yerevan seeks to fill the post of Office Manager. Office Manager will be responsible for maintaining an efficient and well run project office in Yerevan.,,100.0,10,,1,1,,open,remote,,,,,
88,English Translator/ Interpreter,,Medecins Sans Frontieres - Belgium is seeking an English Translator/ Interpreter to work in the framework of its Mental Health project in Gegharkunik Marz.,,100.0,10,,1,1,,open,remote,,,,,
89,Administrative Assistant,,Vem Radio Station FM 101.6 is seeking a qualified Administrative Assistant.,,100.0,10,,1,1,,open,remote,,,,,
90,"Political Assistant, FSN-9; FP-05* (steps 1-4)",,Provides research reporting advisory and related services to broad scope and sensitivity in the field of political reporting. Follows issues involving Armenian political events as well as human rights refugees national minorities women and children rights. Obtains information and prepares factual and analytical reports. A copy of the complete position description listing all duties and responsibilities is available in the Human Resources Office. Contact number: 3741 52-46-61,,100.0,10,,1,1,,open,remote,,,,,
91,Technical Project Manager,,Yerevan Brandy Company is seeking qualified candidates to fill the position of Technical Project Manager.,,100.0,10,,1,1,,open,remote,,,,,
92,AutoCAD Operator,,Yerevan Brandy Company is seeking qualified candidates to fill the position of Technical Project Manager.,,100.0,10,,1,1,,open,remote,,,,,
93,Chemist - Organic/ Polymer,,H2 ECOnomy is seeking qualified candidate to fill the position of Chemist - Organic/ Polymer.,,100.0,10,,1,1,,open,remote,,,,,
94,Language and Administrative Assistant,,The OSCE Office in Yerevan invites applications from highly qualified energetic and experienced Armenian professionals for the post of Language and Administrative Assistant.,,100.0,10,,1,1,,open,remote,,,,,
95,Mobile Medical Team (MMT) Project Manager,,World Vision Armenia encourages strong experienced and inspired Managers in the field of Primary Health Care to apply for this strategic position that will provide leadership and oversight to the development and implementation of the MMT project as per the requirements of USAID and World Vision.,,100.0,10,,1,1,,open,remote,,,,,
96,Project Officer,,The Project Officer oversees daily operations and technical quality of the Community Self-Help Fund CSHF projects and provides technical support to small sub-grants' recipients through the implementation process. The Project Officer is responsible for assuring community-based projects' quality and adherence to CSHF criteria and procedures and SC's policies and procedures. This person is responsible for maintaining collaborative working relationships with sub-grantees and is taking an active role in coordination of program interventions with local level governments. The Project Officer reports to the CSHF Program Manager PM and oversees successful and timely implementation of sub-grantees' activities.,,100.0,10,,1,1,,open,remote,,,,,
97,Game Developer Specialist,,The IT company is looking for high qualified Game Developers to form a dynamic team that will work on various Game Development projects.,,100.0,10,,1,1,,open,remote,,,,,
98,Executive Director,,In close coordination with the Board of Trustees the position holder will develop and implement an integrated strategy for the Education for Sustainable Development Foundation ESDF; provide overall operational and technical management of ESDF including overseeing programs design and development implementation and evaluation; serve as a key liaison between the ESDF and partner organizations donors and the NGO community; lead and maintain fundraising initiatives and network/ linkages with potential partners and outreach components.,,100.0,10,,1,1,,open,remote,,,,,
99,Corporate Director,,We are looking for a Corporate Director to head up the Corporate Film Unit and the Design Unit. This is a senior management. He/she will be fully responsible for the management and deliverables of the corporate/ design department. The Corporate Director assist the units with the day to day management of their work loads set future targets and insure quality control. The Corporate Director will also get involved in attracting more clients through active involvement in the international community of Yerevan Armenia.,,100.0,10,,1,1,,open,remote,,,,,
100,"Marketing Specialist, Commodity Export",,Valensia Expo is looking for a Marketing Specialist Commodity Export.,,100.0,10,,1,1,,open,remote,,,,,
101,"Assistant to Director, Translator/ Interpreter",,We are looking for highly qualified energetic and experienced professionals to fill the position of Assistant to Director.,,100.0,10,,1,1,,open,remote,,,,,
102,IT Specialist  (full time),,ACRA Credit Bureau seeks to fill the long-term position of IT specialist. Ideally this position will be filled by a candidate who has experience in all aspects of the software development process including design implementation testing and delivery.,,100.0,10,,1,1,,open,remote,,,,,
103,Accountant/ Financial Officer,,SEF International Ltd. is looking to recruit qualified and experienced Accountant/ Financial Officer for its Head Office in Yerevan. This position will carry out routine accounting as well as be responsible for preparation of financial reports to local authorities including the Central Bank of RA.,,100.0,10,,1,1,,open,remote,,,,,
104,"Community Development, Capacity Building and Conflict",,Food Security Regional Cooperation and Stability Programme in South Caucasus FRCS seeks to fill the position of Community Development Capacity Building and Conflict Management Consultant.,,100.0,10,,1,1,,open,remote,,,,,
105,Web Designer,,ACRA Credit Bureau seeks to fill the position of Web Designer. Ideally this position will be filled by a candidate who has experience in all aspects of Web Designing.,,100.0,10,,1,1,,open,remote,,,,,
